         hgnc      logFC         t      P.Value    adj.P.Val        B
13649   PSMB9  1.2129975  9.696260 9.170940e-14 2.061261e-09 20.83038
20995  UBE2L6  0.8210965  9.202152 5.909389e-13 6.640971e-09 19.07412
12892  PLAAT4  1.3232734  8.934674 1.634589e-12 1.224634e-08 18.11295
7117    HLA-F  0.8363546  8.788527 2.856673e-12 1.605164e-08 17.58499
10220  MRPL24 -0.3504095 -8.161120 3.188101e-11 1.175515e-07 15.29950
7858     IRF1  1.0474845  8.155671 3.255902e-11 1.175515e-07 15.27954
7116    HLA-E  0.5427915  8.089894 4.197978e-11 1.175515e-07 15.03842
17811   SETD9 -0.7301115 -8.079537 4.369449e-11 1.175515e-07 15.00043
19534    TAP1  0.9836694  8.060283 4.707081e-11 1.175515e-07 14.92980
159   ACKR4P1  1.3779107  7.824880 1.170652e-10 2.631157e-07 14.06485
1368      B2M  0.3936671  7.757946 1.517278e-10 3.100213e-07 13.81851
6134     GBP2  1.1908680  7.734468 1.661829e-10 3.112605e-07 13.73206
17747  SERF1B -0.5753849 -7.707006 1.848499e-10 3.195912e-07 13.63093
2931      CFB  1.6792092  7.678684 2.063030e-10 3.312047e-07 13.52661
7100  HLA-DMA  0.9135801  7.596326 2.839301e-10 4.204786e-07 13.22312
5619   FCGR3A  1.4988334  7.577182 3.058155e-10 4.204786e-07 13.15255
18083 SLC16A9 -1.8484574 -7.567082 3.180342e-10 4.204786e-07 13.11532
3332    CNTN4 -0.8063424 -7.525140 3.742253e-10 4.593546e-07 12.96068
19697  TCIRG1  0.5245261  7.515614 3.883136e-10 4.593546e-07 12.92555
6139     GBP7  0.4544058  7.494488 4.214810e-10 4.736604e-07 12.84765
