         hgnc     logFC         t      P.Value    adj.P.Val         B
14213   REG1B  4.301847  6.098768 9.225249e-08 1.524608e-05  7.722010
4592    DUOX2  3.370521  6.901246 4.205737e-09 2.031348e-06 10.659785
14212   REG1A  3.281159  6.273780 4.724257e-08 1.011261e-05  8.358477
18368 SLC6A14  3.115336  5.097814 3.904221e-06 1.651845e-04  4.167626
10077    MMP3  2.790577  4.617302 2.189562e-05 5.142382e-04  2.539682
17426  S100A8  2.657110  6.174434 6.910087e-08 1.249768e-05  7.996798
908      AQP8 -2.525877 -4.833380 1.015988e-05 3.059018e-04  3.263673
4332    DMBT1  2.522900  5.569411 6.826894e-07 5.272896e-05  5.820375
14215   REG3A  2.482676  4.759993 1.320628e-05 3.682017e-04  3.016209
2989   CHI3L1  2.319990  5.779527 3.099083e-07 3.239767e-05  6.570298
4594   DUOXA2  2.293326  5.971695 1.496633e-07 2.026405e-05  7.261994
909      AQP9  2.268903  5.902643 1.945139e-07 2.359354e-05  7.012862
76      ABCG2 -2.262961 -6.041306 1.148423e-07 1.805031e-05  7.513755
7478     IDO1  2.162343  6.443377 2.463318e-08 6.437852e-06  8.977958
3818    CXCL9  2.151935  6.610951 1.291685e-08 3.944877e-06  9.592165
12735     PI3  2.143437  5.710688 4.017281e-07 3.809806e-05  6.323816
11250    NOS2  2.122249  5.969849 1.507168e-07 2.028450e-05  7.255327
8689     LCN2  2.066020  6.949592 3.487663e-09 1.866398e-06 10.837903
3806   CXCL10  2.022162  5.328374 1.673714e-06 9.547818e-05  4.969805
9703    MEP1B -1.968254 -5.768571 3.229905e-07 3.333920e-05  6.531021
